Sub,Block,Obj,AE,SR
4,1,44,0.575,1
4,1,24,0.759259259,0.817592593
4,1,88,1,1
4,1,104,0.362037037,9.25926e-4
4,1,82,0.174074074,9.25926e-4
4,1,96,0.359259259,0.261111111
4,1,85,0.053703704,9.25926e-4
4,1,81,9.25926e-4,9.25926e-4
4,1,39,0.755555556,0.771296296
4,1,56,0.201851852,0.849074074
4,1,29,0.743518519,0.841666667
4,1,86,0.648148148,1
4,1,139,9.25926e-4,9.25926e-4
4,1,30,0.59537037,1
4,1,129,1,1
4,1,113,0.744444444,0.857407407
4,1,43,9.25926e-4,9.25926e-4
4,1,144,9.25926e-4,9.25926e-4
4,1,52,0.325925926,9.25926e-4
4,1,128,1,1
4,1,75,0.651851852,0.842592593
4,1,57,0.724074074,0.616666667
4,1,74,0.155555556,0.225
4,1,97,0.761111111,0.728703704
4,1,140,0.363888889,0.216666667
4,1,109,0.303703704,0.339814815
4,1,80,0.075925926,9.25926e-4
4,1,94,0.716666667,0.718518519
4,1,98,0.435185185,0.124074074
4,1,103,0.387037037,0.082407407
4,1,112,0.841666667,0.722222222
4,1,105,0.716666667,0.444444444
4,1,38,0.025925926,9.25926e-4
4,1,42,0.702777778,1
4,1,6,9.25926e-4,9.25926e-4
4,1,118,1,1
4,1,76,0.801851852,0.2
4,1,120,1,0.830555556
4,1,102,0.29537037,0.111111111
4,1,3,1,0.741666667
4,1,124,1,1
4,1,63,0.789814815,0.651851852
4,1,145,9.25926e-4,9.25926e-4
4,1,143,9.25926e-4,9.25926e-4
4,1,114,0.773148148,0.643518519
4,1,51,1,1
4,1,127,0.744444444,1
4,1,77,0.95,1
4,1,79,0.285185185,0.048148148
4,1,14,9.25926e-4,9.25926e-4
4,1,25,1,1
4,1,50,0.975,0.637962963
4,1,55,0.287037037,0.289814815
4,1,49,0.050925926,9.25926e-4
4,1,117,0.655555556,0.757407407
4,1,53,0.250925926,0.30462963
4,1,35,9.25926e-4,9.25926e-4
4,1,17,0.310185185,0.843518519
4,1,116,0.562037037,0.742592593
4,1,91,1,0.999074074
4,1,68,0.286111111,0.173148148
4,1,22,0.608333333,0.751851852
4,1,99,0.780555556,1
4,1,2,0.526851852,0.157407407
4,1,69,0.534259259,0.364814815
4,1,78,0.239814815,0.203703704
4,1,89,0.92037037,0.855555556
4,1,60,0.408333333,0.727777778
4,1,71,0.757407407,0.647222222
4,1,106,0.668518519,1
4,1,87,0.186111111,9.25926e-4
4,1,36,9.25926e-4,9.25926e-4
4,1,20,9.25926e-4,9.25926e-4
4,1,11,9.25926e-4,9.25926e-4
4,1,23,0.259259259,0.159259259
4,1,90,0.130555556,0.24537037
4,1,45,0.850925926,0.900925926
4,1,83,0.406481481,0.172222222
4,1,125,0.775925926,1
4,1,16,0.612037037,0.057407407
4,1,21,0.805555556,1
4,1,13,0.592592593,0.911111111
4,1,28,0.02037037,0.652777778
4,1,130,9.25926e-4,9.25926e-4
4,1,122,1,0.926851852
4,1,137,9.25926e-4,9.25926e-4
4,1,5,1,1
4,1,84,0.64537037,0.271296296
4,1,92,0.208333333,0.626851852
4,1,136,0.039814815,9.25926e-4
4,1,40,0.048148148,9.25926e-4
4,1,67,0.257407407,0.17962963
4,1,34,0.290740741,0.811111111
4,1,135,0.106481481,9.25926e-4
4,1,147,9.25926e-4,9.25926e-4
4,1,70,0.086111111,9.25926e-4
4,1,12,0.335185185,0.283333333
4,1,93,0.162962963,0.1
4,1,123,9.25926e-4,0.336111111
4,1,110,0.833333333,1
4,1,131,1,1
4,1,141,9.25926e-4,9.25926e-4
4,1,18,0.041666667,9.25926e-4
4,1,126,0.87037037,0.840740741
4,1,48,1,1
4,1,108,0.335185185,0.272222222
4,1,138,9.25926e-4,9.25926e-4
4,1,46,0.071296296,9.25926e-4
4,1,148,9.25926e-4,0.385185185
4,1,115,0.180555556,0.078703704
4,1,132,9.25926e-4,9.25926e-4
4,1,19,9.25926e-4,9.25926e-4
4,1,142,0.087037037,9.25926e-4
4,1,31,0.437037037,1
4,1,61,0.772222222,0.922222222
4,1,107,0.206481481,9.25926e-4
4,1,47,0.685185185,0.725925926
4,1,111,0.571296296,0.676851852
4,1,7,0.237037037,0.191666667
4,1,64,0.063888889,9.25926e-4
4,1,32,0.055555556,9.25926e-4
4,1,146,9.25926e-4,9.25926e-4
4,1,59,0.749074074,1
4,1,121,0.68148148099999994,0.921296296
4,1,26,0.589814815,0.912037037
4,1,9,1,0.890740741
4,1,27,9.25926e-4,0.248148148
4,1,8,0.672222222,1
4,1,72,0.677777778,0.890740741
4,1,134,9.25926e-4,9.25926e-4
4,1,15,9.25926e-4,0.031481481
4,1,58,0.619444444,0.771296296
4,1,4,0.662037037,0.853703704
4,1,95,0.262962963,9.25926e-4
4,2,135,9.25926e-4,9.25926e-4
4,2,40,0.734259259,0.061111111
4,2,11,9.25926e-4,9.25926e-4
4,2,28,9.25926e-4,0.150925926
4,2,103,0.168518519,0.119444444
4,2,30,1,1
4,2,35,0.036111111,9.25926e-4
4,2,141,9.25926e-4,9.25926e-4
4,2,15,0.826851852,0.658333333
4,2,81,0.261111111,0.649074074
4,2,101,1,1
4,2,126,1,0.876851852
4,2,123,0.219444444,0.366666667
4,2,65,0.762037037,0.93148148099999994
4,2,136,0.212037037,0.217592593
4,2,64,0.360185185,9.25926e-4
4,2,32,9.25926e-4,9.25926e-4
4,2,36,9.25926e-4,9.25926e-4
4,2,29,0.803703704,0.701851852
4,2,5,1,1
5,1,68,0.561111111,0.582407407
5,1,108,0.367592593,0
5,1,37,0.637962963,0.839814815
5,1,74,0.136111111,0
5,1,71,0.65462963,0.687962963
5,1,9,0.607407407,0.363888889
5,1,13,0.555555556,0.253703704
5,1,93,0.552777778,0.592592593
5,1,58,0.606481481,0.655555556
5,1,115,0.305555556,0.012962963
5,1,23,0.552777778,0.071296296
5,1,122,0.582407407,0.034259259
5,1,47,0.657407407,0.897222222
5,1,139,0.341666667,0.047222222
5,1,77,0.374074074,0.023148148
5,1,137,0.55648148099999994,0.587037037
5,1,43,0.287962963,0.027777778
5,1,17,0.562037037,0.75
5,1,55,0.864814815,0.826851852
5,1,131,0.60462963,0.725925926
5,1,10,0.540740741,0.043518519
5,1,76,0.287962963,0.034259259
5,1,66,0.260185185,0
5,1,119,0.3,0.034259259
5,1,127,0.271296296,0.043518519
5,1,69,0.375,0.027777778
