Obj,Rating,Sub,Block
OBJECTS27,6,230,2
OBJECTS27,6,230,1
OBJECTS25,5,230,1
OBJECTS39,5,230,2
OBJECTS49,3,230,1
OBJECTS34,NA,230,2
OBJECTS21,4,230,1
OBJECTS5,5,230,1
OBJECTS23,6,230,1
OBJECTS43,4,230,2
OBJECTS22,4,230,1
OBJECTS45,NA,230,2
OBJECTS12,5,230,1
OBJECTS49,NA,230,2
OBJECTS42,NA,230,2
OBJECTS42,3,230,1
OBJECTS7,NA,230,2
OBJECTS43,4,230,1
OBJECTS16,NA,230,2
OBJECTS16,4,230,1
OBJECTS25,NA,230,2
OBJECTS6,5,230,2
OBJECTS37,6,230,1
OBJECTS35,NA,230,2
OBJECTS18,6,230,1
OBJECTS5,NA,230,2
OBJECTS40,NA,230,2
OBJECTS3,5,230,1
OBJECTS6,4,230,1
OBJECTS32,7,230,1
OBJECTS34,6,230,1
OBJECTS33,5,230,1
OBJECTS32,NA,230,2
OBJECTS34,5,237,1
OBJECTS9,2,237,2
OBJECTS26,5,237,1
OBJECTS23,5,237,1
OBJECTS6,4,237,1
OBJECTS18,7,237,1
OBJECTS43,3,237,2
OBJECTS40,6,237,1
OBJECTS42,NA,237,2
OBJECTS5,5,237,1
OBJECTS7,NA,237,2
OBJECTS6,4,237,2
OBJECTS3,4,237,2
OBJECTS12,4,237,1
OBJECTS31,NA,237,2
OBJECTS9,3,237,1
OBJECTS39,6,237,2
OBJECTS16,NA,237,2
OBJECTS8,NA,237,2
OBJECTS37,6,237,1
OBJECTS12,3,237,2
OBJECTS31,3,237,1
OBJECTS38,NA,237,2
OBJECTS45,NA,237,2
OBJECTS37,NA,237,2
OBJECTS42,3,237,1
OBJECTS39,7,237,1
OBJECTS49,NA,237,2
OBJECTS8,4,237,1
OBJECTS49,2,237,1
OBJECTS11,NA,237,2
OBJECTS25,7,237,1
OBJECTS25,NA,237,2
OBJECTS21,2,237,2
OBJECTS35,6,237,1
OBJECTS5,NA,237,2
OBJECTS34,NA,237,2
OBJECTS27,7,237,1
OBJECTS21,2,237,1
OBJECTS45,5,237,1
OBJECTS23,NA,237,2
OBJECTS32,5,237,1
OBJECTS7,6,237,1
OBJECTS38,2,237,1
OBJECTS16,2,237,1
OBJECTS26,NA,237,2
OBJECTS18,7,237,2
OBJECTS32,NA,237,2
OBJECTS11,6,237,1
OBJECTS33,5,237,2
OBJECTS22,3,237,1
OBJECTS24,7,237,1
OBJECTS27,6,237,2
OBJECTS33,4,237,1
OBJECTS22,NA,237,2
